index,timestamp,label,duration,added_in_player
208,159341.19453851413,S_220,0.0,
209,159341.2053112192,S_229,0.0,
867,159363.19685785007,S_221,0.0,
978,159367.22795526218,S_155,0.0,
1026,159368.82750360202,S_1,0.0,
1050,159369.6272167368,S_2,0.0,
1164,159373.42622796725,S_238,0.0,
1165,159373.459522645,S_150,0.0,
1213,159375.05821649265,S_1,0.0,
1237,159375.85832635593,S_2,0.0,
1342,159379.35689202975,S_238,0.0,
1343,159379.39006463718,S_163,0.0,
1391,159380.98939935397,S_1,0.0,
1415,159381.78877679538,S_2,0.0,
1524,159385.42137567233,S_238,0.0,
1525,159385.45399896335,S_165,0.0,
1573,159387.05357782077,S_1,0.0,
1597,159387.85298577975,S_2,0.0,
1697,159391.17647210788,S_238,0.0,
1698,159391.2068370981,S_168,0.0,
1746,159392.80888787936,S_1,0.0,
1770,159393.60646478366,S_2,0.0,
1870,159396.95302240085,S_238,0.0,
1871,159396.98076287936,S_155,0.0,
1919,159398.5850719614,S_1,0.0,
1943,159399.38399163913,S_2,0.0,
2052,159403.0164379282,S_238,0.0,
2053,159403.0464061899,S_165,0.0,
2101,159404.6489452524,S_1,0.0,
2125,159405.4483532114,S_2,0.0,
2244,159409.40135614108,S_238,0.0,
2245,159409.43263665866,S_161,0.0,
2293,159411.0321849985,S_1,0.0,
2317,159411.831989686,S_2,0.0,
2407,159414.8308605356,S_238,0.0,
2408,159414.8636669321,S_167,0.0,
2456,159416.46324578952,S_1,0.0,
2480,159417.26326410007,S_2,0.0,
2579,159420.5729259653,S_238,0.0,
2580,159420.60619012546,S_170,0.0,
2628,159422.20567743015,S_1,0.0,
2652,159423.00536004733,S_2,0.0,
2744,159426.07075921725,S_238,0.0,
2745,159426.10350457858,S_171,0.0,
2793,159427.70305291843,S_1,0.0,
2817,159428.50297967624,S_2,0.0,
2924,159432.0681652231,S_238,0.0,
2925,159432.10121576022,S_159,0.0,
2973,159433.7007335825,S_1,0.0,
2997,159434.50032464694,S_2,0.0,
3109,159438.23372308444,S_238,0.0,
3110,159438.26506463718,S_156,0.0,
3158,159439.86473504733,S_1,0.0,
3182,159440.66453973483,S_2,0.0,
3287,159444.17512933444,S_238,0.0,
3288,159444.20988885593,S_152,0.0,
3336,159445.8095287485,S_1,0.0,
3360,159446.6086315317,S_2,0.0,
3450,159449.62779657077,S_238,0.0,
3451,159449.6604198618,S_164,0.0,
3499,159451.26021234225,S_1,0.0,
